Sample,X(ms) [03.01.2012 22:56:23 658 UTC],"Temperatura"[%MD9]
6700,1325631703658.454280,49.9710083007813
6701,1325631703708.438680,49.9954223632813
6702,1325631703758.430080,50.0198364257813
6703,1325631703808.435440,50.0198364257813
6704,1325631703858.477840,50.0198364257813
6705,1325631703908.487520,49.9954223632813
6706,1325631703958.455500,50.0198364257813
6707,1325631704008.436900,50.0198364257813
6708,1325631704058.423520,50.0442504882813
6709,1325631704108.469100,50.0442504882813
6710,1325631704158.448200,49.9954223632813
6711,1325631704208.452740,50.0442504882813
6712,1325631704258.457920,50.0198364257813
6713,1325631704308.441320,49.9954223632813
6714,1325631704358.482300,49.9954223632813
6715,1325631704408.424680,49.9954223632813
6716,1325631704458.446840,50.0442504882813
6717,1325631704508.457800,50.0198364257813
6718,1325631704558.435060,50.0442504882813
6719,1325631704608.454600,49.9954223632813
6720,1325631704658.462500,50.0198364257813
6721,1325631704708.468620,50.0198364257813
6722,1325631704758.436380,50.0442504882813
6723,1325631704808.455060,50.0442504882813
6724,1325631704858.476380,50.0442504882813
6725,1325631704908.433920,50.0198364257813
6726,1325631704958.432160,50.0198364257813
6727,1325631705008.435380,50.0442504882813
6728,1325631705058.502440,50.0442504882813
6729,1325631705108.483820,50.0442504882813
6730,1325631705158.458060,49.9954223632813
6731,1325631705208.500720,50.0442504882813
6732,1325631705258.432300,50.0442504882813
6733,1325631705308.431060,50.0442504882813
6734,1325631705358.463720,50.0442504882813
6735,1325631705408.440160,50.0198364257813
6736,1325631705458.464200,50.0442504882813
6737,1325631705508.457980,50.0198364257813
6738,1325631705558.426360,50.0442504882813
6739,1325631705608.583660,50.0686645507813
6740,1325631705658.437740,50.0442504882813
6741,1325631705708.431120,50.0442504882813
6742,1325631705758.438840,50.0442504882813
6743,1325631705808.430760,50.0442504882813
6744,1325631705858.478100,50.0198364257813
6745,1325631705908.458520,50.0198364257813
6746,1325631705958.440400,50.0442504882813
6747,1325631706008.440540,50.0686645507813
6748,1325631706058.431220,50.0442504882813
6749,1325631706108.469780,50.0686645507813
6750,1325631706158.451800,50.0198364257813
6751,1325631706208.449900,50.0442504882813
6752,1325631706258.437420,50.0442504882813
6753,1325631706308.475280,50.0442504882813
6754,1325631706358.514060,50.0442504882813
6755,1325631706408.434180,50.0198364257813
6756,1325631706458.453340,50.0686645507813
6757,1325631706508.440360,50.0442504882813
6758,1325631706558.457000,50.0442504882813
6759,1325631706608.487200,50.0442504882813
6760,1325631706658.483220,50.0198364257813
6761,1325631706708.429800,50.0442504882813
6762,1325631706758.455700,50.0442504882813
6763,1325631706808.436540,50.0442504882813
6764,1325631706858.491860,50.0686645507813
6765,1325631706908.431780,50.0686645507813
6766,1325631706958.434040,50.0686645507813
6767,1325631707008.440920,50.0442504882813
6768,1325631707058.441620,50.0442504882813
6769,1325631707108.465680,50.0686645507813
6770,1325631707158.432160,50.0198364257813
6771,1325631707208.435540,50.0686645507813
6772,1325631707258.457700,50.0442504882813
6773,1325631707308.439740,50.0442504882813
6774,1325631707358.468860,50.0442504882813
6775,1325631707408.453560,50.0198364257813
6776,1325631707458.467720,50.0686645507813
6777,1325631707508.435060,50.0686645507813
6778,1325631707558.454060,50.0686645507813
6779,1325631707608.467740,50.0930786132813
6780,1325631707658.431180,50.0198364257813
6781,1325631707708.437160,50.0442504882813
6782,1325631707758.462640,50.0686645507813
6783,1325631707808.518960,50.0686645507813
6784,1325631707858.488400,50.0686645507813
6785,1325631707908.427420,50.0686645507813
6786,1325631707958.439300,50.0686645507813
6787,1325631708008.452120,50.0442504882813
6788,1325631708058.434980,50.0686645507813
6789,1325631708108.466100,50.0686645507813
6790,1325631708158.434120,49.9954223632813
6791,1325631708208.440460,50.0686645507813
6792,1325631708258.461300,50.0686645507813
6793,1325631708308.447720,50.0686645507813
6794,1325631708358.462700,50.0686645507813
6795,1325631708408.442420,50.0442504882813
6796,1325631708458.442360,50.0442504882813
6797,1325631708508.452680,50.0686645507813
6798,1325631708558.431060,50.0686645507813
6799,1325631708608.515680,50.0930786132813
6800,1325631708658.458280,50.0442504882813
6801,1325631708708.437640,50.0442504882813
6802,1325631708758.430500,50.0930786132813
6803,1325631708808.436740,50.0930786132813
6804,1325631708858.465000,50.0930786132813
6805,1325631708908.460480,50.0686645507813
6806,1325631708958.422540,50.0686645507813
6807,1325631709008.438240,50.0686645507813
6808,1325631709058.452020,50.0686645507813
6809,1325631709108.457460,50.0930786132813
6810,1325631709158.441060,50.0198364257813
6811,1325631709208.467080,50.0686645507813
6812,1325631709258.449800,50.0930786132813
6813,1325631709308.442740,50.0686645507813
6814,1325631709358.499640,50.0442504882813
6815,1325631709408.446020,50.0198364257813
6816,1325631709458.436820,50.0930786132813
6817,1325631709508.452720,50.0930786132813
6818,1325631709558.457060,50.0442504882813
6819,1325631709608.495280,50.0686645507813
6820,1325631709658.430480,50.0442504882813
6821,1325631709708.444960,50.0686645507813
6822,1325631709758.445060,50.0930786132813
6823,1325631709808.440980,50.0686645507813
6824,1325631709858.471740,50.0686645507813
6825,1325631709908.450480,50.0686645507813
6826,1325631709958.434860,50.0686645507813
6827,1325631710008.449080,50.0686645507813
6828,1325631710058.445560,50.0930786132813
6829,1325631710108.475680,50.0930786132813
6830,1325631710158.495260,50.0442504882813
6831,1325631710208.466280,50.0686645507813
6832,1325631710258.439340,50.0686645507813
6833,1325631710308.480260,50.0442504882813
6834,1325631710358.481020,50.0686645507813
6835,1325631710408.441700,50.0442504882813
6836,1325631710458.440440,50.0686645507813
6837,1325631710508.443520,50.0686645507813
6838,1325631710558.477700,50.0442504882813
6839,1325631710608.500780,50.0686645507813
6840,1325631710658.435160,50.0442504882813
6841,1325631710708.471140,50.0930786132813
6842,1325631710758.444500,50.0930786132813
6843,1325631710808.434180,50.0930786132813
6844,1325631710858.471940,50.0442504882813
6845,1325631710908.438300,50.0930786132813
6846,1325631710958.435940,50.0930786132813
6847,1325631711008.501340,50.0686645507813
6848,1325631711058.446680,50.0930786132813
6849,1325631711108.498100,50.0442504882813
6850,1325631711158.445600,50.0198364257813
6851,1325631711208.439940,50.0686645507813
6852,1325631711258.435440,50.0686645507813
6853,1325631711308.436080,50.0442504882813
6854,1325631711358.497780,50.0686645507813
6855,1325631711408.457000,49.9954223632813
6856,1325631711458.446400,50.0686645507813
6857,1325631711508.435760,50.0686645507813
6858,1325631711558.428480,50.0686645507813
6859,1325631711608.473740,50.0930786132813
6860,1325631711658.423780,50.0442504882813
6861,1325631711708.428360,50.0686645507813
6862,1325631711758.497300,50.0686645507813
6863,1325631711808.440080,50.0930786132813
6864,1325631711858.486140,50.0442504882813
6865,1325631711908.442440,50.0686645507813
6866,1325631711958.431560,50.0686645507813
6867,1325631712008.423440,50.0686645507813
6868,1325631712058.455940,50.0686645507813
6869,1325631712108.470860,50.0930786132813
6870,1325631712158.499480,50.0198364257813
6871,1325631712208.462180,50.0930786132813
6872,1325631712258.443080,50.0930786132813
6873,1325631712308.440760,50.0930786132813
6874,1325631712358.485280,50.0686645507813
6875,1325631712408.441500,50.0442504882813
6876,1325631712458.430320,50.0686645507813
6877,1325631712508.437320,50.0686645507813
6878,1325631712558.431360,50.0686645507813
6879,1325631712608.485980,50.0686645507813
6880,1325631712658.442500,50.0442504882813
6881,1325631712708.444140,50.0686645507813
6882,1325631712758.463660,50.0442504882813
6883,1325631712808.433340,50.0930786132813
6884,1325631712858.468380,50.0686645507813
6885,1325631712908.441300,50.0442504882813
6886,1325631712958.435540,50.0930786132813
6887,1325631713008.517900,50.0686645507813
6888,1325631713058.454620,50.0442504882813
6889,1325631713108.468700,50.0686645507813
6890,1325631713158.432180,50.0198364257813
6891,1325631713208.427880,50.0442504882813
6892,1325631713258.427820,50.0686645507813
6893,1325631713308.439500,50.0930786132813
6894,1325631713358.468980,50.0442504882813
6895,1325631713408.459760,50.0442504882813
6896,1325631713458.461300,50.0930786132813
6897,1325631713508.459100,50.0442504882813
6898,1325631713558.434820,50.0686645507813
6899,1325631713608.498440,50.0442504882813
6900,1325631713658.428180,49.9954223632813
6901,1325631713708.467500,50.0442504882813
6902,1325631713758.439220,50.0686645507813
6903,1325631713808.504860,50.0686645507813
6904,1325631713858.533780,50.0686645507813
6905,1325631713908.487780,49.9954223632813
6906,1325631713958.435260,50.0930786132813
6907,1325631714008.464380,50.0686645507813
6908,1325631714058.434780,50.0442504882813
6909,1325631714108.468920,50.0686645507813
6910,1325631714158.487560,50.0686645507813
6911,1325631714208.436380,50.0442504882813
6912,1325631714258.431740,50.0686645507813
6913,1325631714308.457540,50.0686645507813
6914,1325631714358.466740,50.0442504882813
6915,1325631714408.429420,50.0198364257813
6916,1325631714458.430180,50.0686645507813
6917,1325631714508.436340,50.0442504882813
6918,1325631714558.441540,50.0198364257813
6919,1325631714608.532480,50.0442504882813
6920,1325631714658.463180,49.9954223632813
6921,1325631714708.484100,50.0442504882813
6922,1325631714758.450420,50.0198364257813
6923,1325631714808.433640,49.9954223632813
6924,1325631714858.469280,50.0198364257813
6925,1325631714908.433660,49.9954223632813
6926,1325631714958.459320,50.0442504882813
6927,1325631715008.450120,50.0198364257813
6928,1325631715058.450760,50.0442504882813
6929,1325631715108.498760,50.0198364257813
6930,1325631715158.433680,49.9954223632813
6931,1325631715208.428380,50.0198364257813
6932,1325631715258.468580,49.9954223632813
6933,1325631715308.430740,50.0198364257813
6934,1325631715358.491340,50.0442504882813
6935,1325631715408.452700,49.9435386657715
6936,1325631715458.438860,49.9954223632813
6937,1325631715508.442820,50.0198364257813
6938,1325631715558.443840,49.9954223632813
6939,1325631715608.460940,50.0198364257813
6940,1325631715658.453700,49.9435386657715
6941,1325631715708.436820,49.9710083007813
6942,1325631715758.438880,50.0198364257813
6943,1325631715808.462340,50.0198364257813
6944,1325631715858.480460,49.9954223632813
6945,1325631715908.438000,49.9954223632813
6946,1325631715958.444140,50.0442504882813
6947,1325631716008.427060,50.0198364257813
6948,1325631716058.471060,49.9954223632813
6949,1325631716108.472300,49.9954223632813
6950,1325631716158.430900,50.0198364257813
6951,1325631716208.441960,50.0198364257813
6952,1325631716258.476460,49.9954223632813
6953,1325631716308.439120,49.9954223632813
6954,1325631716358.488120,50.0198364257813
6955,1325631716408.437660,49.9710083007813
6956,1325631716458.439080,49.9954223632813
6957,1325631716508.422180,49.9954223632813
6958,1325631716558.447100,49.9954223632813
6959,1325631716608.468680,50.0198364257813
6960,1325631716658.441340,49.9710083007813
6961,1325631716708.427820,49.9954223632813
6962,1325631716758.434760,50.0198364257813
6963,1325631716808.441980,49.9954223632813
6964,1325631716858.459440,49.9954223632813
6965,1325631716908.434600,49.9710083007813
6966,1325631716958.440940,50.0198364257813
6967,1325631717008.502940,50.0198364257813
